baseline,mean,std,count
B0,0.0079497736895897,0.0,6
B1,0.0363504312693337,0.0,6
B2,0.5687180897062336,0.1312580675429469,8
B3,0.08797153342121582,0.14286521882747474,12
B4,0.6591322145556487,0.14514043856450787,3
