baseline,cv_splits,f1_macro,f1_weighted,train_infer_time_sec,notes
B0,3,0.0079497736895897,0.0258054956559373,0.031,text_only=False | image_only=False | dummy=True
B1,3,0.0363504312693337,0.0519315158011236,0.066,text_only=False | image_only=False | dummy=True
B2,3,0.7050529590904112,0.7217755784741176,4535.961,text_only=True | image_only=False | dummy=False
B3,3,0.453787645045531,0.5115683606193994,20833.496,text_only=False | image_only=True | dummy=False
B4,3,0.8205706009339623,0.8318964351426771,29813.35,text_only=False | image_only=False | dummy=False
