class_id,class_name,support,precision,recall,f1
2583,Accessoires pour piscines et spas,223,0.6382978723404256,0.26905829596412556,0.3785488958990536
1560,Mobilier & articles de maison,139,0.2882882882882883,0.2302158273381295,0.256
2403,"Livres, mangas & partitions",125,0.34965034965034963,0.4,0.373134328358209
2522,Fournitures de papeterie,123,0.41346153846153844,0.34959349593495936,0.3788546255506608
1300,Drones et modèles réduits,122,0.35638297872340424,0.5491803278688525,0.432258064516129
2280,Magazines & journaux anciens,118,0.543859649122807,0.5254237288135594,0.5344827586206896
1280,Jouets enfants & bébés,111,0.05263157894736842,0.009009009009009009,0.015384615384615385
2060,Décoration & accessoires saisonniers,110,0.41509433962264153,0.4,0.4074074074074074
1920,Linge de maison & décoration textile,85,0.8,0.7058823529411765,0.75
1160,Cartes à collectionner,76,0.20141342756183744,0.75,0.31754874651810583
2705,Essais & livres d’histoire,76,0.2087912087912088,0.5,0.29457364341085274
1320,Puériculture & équipement bébé,69,0.2727272727272727,0.043478260869565216,0.075
2585,Outils et équipements de jardinage,67,0.3333333333333333,0.1044776119402985,0.1590909090909091
2582,Mobilier et accessoires de jardin,64,0.29411764705882354,0.15625,0.20408163265306123
1302,Jouets divers & loisirs créatifs,63,0.6551724137931034,0.30158730158730157,0.41304347826086957
1140,Figurines Pop & licences geek,63,0.36619718309859156,0.4126984126984127,0.3880597014925373
10,Livres et ouvrages culturels,62,0.1044776119402985,0.11290322580645161,0.10852713178294573
40,Jeux vidéo et accessoires,55,0.12903225806451613,0.21818181818181817,0.16216216216216217
50,Accessoires gaming,52,0.3076923076923077,0.07692307692307693,0.12307692307692308
1281,Jeux et loisirs enfants,48,0.3333333333333333,0.0625,0.10526315789473684
2462,Lots jeux vidéo et consoles,35,0.36363636363636365,0.6857142857142857,0.4752475247524752
1180,Jeux de figurines & wargames,27,0.03571428571428571,0.037037037037037035,0.03636363636363636
2220,Accessoires pour animaux,25,0.5714285714285714,0.32,0.41025641025641024
2905,Jeux PC à télécharger & éditions spéciales,18,0.25,0.8888888888888888,0.3902439024390244
1940,Alimentation & boissons,16,0.16,0.25,0.1951219512195122
60,Consoles rétro,16,0.6842105263157895,0.8125,0.7428571428571429
1301,Chaussettes & accessoires enfants,12,0.23529411764705882,0.3333333333333333,0.27586206896551724
