class_id,class_name,support,precision,recall,f1
2583,Accessoires pour piscines et spas,334,0.7817258883248731,0.9221556886227545,0.8461538461538461
1560,Mobilier & articles de maison,196,0.5201612903225806,0.6581632653061225,0.581081081081081
2403,"Livres, mangas & partitions",188,0.5621890547263682,0.601063829787234,0.5809768637532133
1300,Drones et modèles réduits,186,0.6467889908256881,0.7580645161290323,0.698019801980198
2522,Fournitures de papeterie,183,0.7091836734693877,0.7595628415300546,0.7335092348284961
2060,Décoration & accessoires saisonniers,174,0.5545851528384279,0.7298850574712644,0.630272952853598
2280,Magazines & journaux anciens,168,0.6666666666666666,0.6904761904761905,0.6783625730994152
1280,Jouets enfants & bébés,166,0.385,0.463855421686747,0.4207650273224044
1920,Linge de maison & décoration textile,137,0.7819548872180451,0.7591240875912408,0.7703703703703704
1160,Cartes à collectionner,127,0.7165354330708661,0.7165354330708661,0.7165354330708661
1320,Puériculture & équipement bébé,105,0.5,0.3904761904761905,0.4385026737967914
2705,Essais & livres d’histoire,102,0.7592592592592593,0.803921568627451,0.780952380952381
1302,Jouets divers & loisirs créatifs,100,0.4794520547945205,0.35,0.4046242774566474
2585,Outils et équipements de jardinage,97,0.5230769230769231,0.35051546391752575,0.41975308641975306
1140,Figurines Pop & licences geek,96,0.7058823529411765,0.5,0.5853658536585366
2582,Mobilier et accessoires de jardin,95,0.42105263157894735,0.42105263157894735,0.42105263157894735
10,Livres et ouvrages culturels,94,0.3291139240506329,0.2765957446808511,0.30057803468208094
40,Jeux vidéo et accessoires,90,0.3013698630136986,0.24444444444444444,0.26993865030674846
50,Accessoires gaming,71,0.5483870967741935,0.4788732394366197,0.5112781954887218
1281,Jeux et loisirs enfants,65,0.1935483870967742,0.09230769230769231,0.125
2462,Lots jeux vidéo et consoles,50,0.5454545454545454,0.48,0.5106382978723404
2220,Accessoires pour animaux,37,0.6923076923076923,0.24324324324324326,0.36
1180,Jeux de figurines & wargames,35,0.4,0.17142857142857143,0.24
2905,Jeux PC à télécharger & éditions spéciales,29,0.88,0.7586206896551724,0.8148148148148148
60,Consoles rétro,28,0.72,0.6428571428571429,0.6792452830188679
1940,Alimentation & boissons,26,0.7777777777777778,0.2692307692307692,0.4
1301,Chaussettes & accessoires enfants,21,0.8461538461538461,0.5238095238095238,0.6470588235294118
