theme,support,f1,precision,recall
Maison & jardin,859,0.6076822031207996,0.6055943241042738,0.6222022274033182
Livres & presse,552,0.5852174631217726,0.5793072261757317,0.5930143333929316
Jeux & gaming,526,0.540977066028862,0.60220366140681,0.4990949401116021
Jouets & enfance,457,0.40719016042105094,0.48083085760902816,0.36408976565603074
Modélisme & drones,186,0.698019801980198,0.6467889908256881,0.7580645161290323
Fournitures & papeterie,183,0.7335092348284961,0.7091836734693877,0.7595628415300546
Décoration & saisonnier,174,0.630272952853598,0.5545851528384279,0.7298850574712644
Animaux,37,0.36,0.6923076923076923,0.24324324324324326
Alimentation & boissons,26,0.4,0.7777777777777778,0.2692307692307692
