class_id,precision,recall,f1,support,class_name
2583,0.7817258883248731,0.9221556886227545,0.8461538461538461,334,Accessoires pour piscines et spas
1560,0.5201612903225806,0.6581632653061225,0.581081081081081,196,Mobilier & articles de maison
2403,0.5621890547263682,0.601063829787234,0.5809768637532133,188,"Livres, mangas & partitions"
1300,0.6467889908256881,0.7580645161290323,0.698019801980198,186,Drones et modèles réduits
2522,0.7091836734693877,0.7595628415300546,0.7335092348284961,183,Fournitures de papeterie
2060,0.5545851528384279,0.7298850574712644,0.630272952853598,174,Décoration & accessoires saisonniers
2280,0.6666666666666666,0.6904761904761905,0.6783625730994152,168,Magazines & journaux anciens
1280,0.385,0.463855421686747,0.4207650273224044,166,Jouets enfants & bébés
1920,0.7819548872180451,0.7591240875912408,0.7703703703703704,137,Linge de maison & décoration textile
1160,0.7165354330708661,0.7165354330708661,0.7165354330708661,127,Cartes à collectionner
1320,0.5,0.3904761904761905,0.4385026737967914,105,Puériculture & équipement bébé
2705,0.7592592592592593,0.803921568627451,0.780952380952381,102,Essais & livres d’histoire
1302,0.4794520547945205,0.35,0.4046242774566474,100,Jouets divers & loisirs créatifs
2585,0.5230769230769231,0.35051546391752575,0.41975308641975306,97,Outils et équipements de jardinage
1140,0.7058823529411765,0.5,0.5853658536585366,96,Figurines Pop & licences geek
2582,0.42105263157894735,0.42105263157894735,0.42105263157894735,95,Mobilier et accessoires de jardin
10,0.3291139240506329,0.2765957446808511,0.30057803468208094,94,Livres et ouvrages culturels
40,0.3013698630136986,0.24444444444444444,0.26993865030674846,90,Jeux vidéo et accessoires
50,0.5483870967741935,0.4788732394366197,0.5112781954887218,71,Accessoires gaming
1281,0.1935483870967742,0.09230769230769231,0.125,65,Jeux et loisirs enfants
2462,0.5454545454545454,0.48,0.5106382978723404,50,Lots jeux vidéo et consoles
2220,0.6923076923076923,0.24324324324324326,0.36,37,Accessoires pour animaux
1180,0.4,0.17142857142857143,0.24,35,Jeux de figurines & wargames
2905,0.88,0.7586206896551724,0.8148148148148148,29,Jeux PC à télécharger & éditions spéciales
60,0.72,0.6428571428571429,0.6792452830188679,28,Consoles rétro
1940,0.7777777777777778,0.2692307692307692,0.4,26,Alimentation & boissons
1301,0.8461538461538461,0.5238095238095238,0.6470588235294118,21,Chaussettes & accessoires enfants
